Folder,Mean_1,Min_1,Max_1,Std_1,Mean_2,Min_2,Max_2,Std_2
Franco_Leone_Adults-Men_Men_Black_Fashion_Summer_2012_Casual_Velcro_Leather_Sandals_Footwear_Sandal,0.5329212,0.4039745,0.61403525,0.08227601,0.5507086,0.43259263,0.6502329,0.076941825
BOSS_Adults-Men_Men_Orange_Core_Spring_2017_Casual_Perfume_and_Body_Mist_Personal_Care_Fragrance,0.36944562,0.25139827,0.4663929,0.08335313,0.38346204,0.3171109,0.47531128,0.057491306
Garfield_Adults-Women_Women_Red_Fashion_Summer_2017_Casual_Underwired_Single_NA_Lightly_Padded_Regul,0.62575847,0.47752225,0.7581135,0.0993645,0.5264158,0.38578746,0.660946,0.112237
Lee_Adults-Women_Women_Navy_Blue_Fashion_Summer_2013_Casual_Slim_Fit_To-Fit_Denotes_Body_Measurement,0.48557764,0.41583425,0.5636822,0.04926945,0.46151906,0.43424976,0.5087495,0.026140489
Fabindia_Adults-Women_Women_White_Fashion_Summer_2012_Ethnic_To-Fit_Denotes_Body_Measurements_in_Sho,0.5945009,0.57255614,0.6298486,0.020837067,0.5848451,0.46133924,0.69665027,0.08533164
Crocs_Kids-Unisex_Unisex_Brown_Fashion_Summer_2015_Casual_Solid_Thong_Flip-Flops_Flip_Flops_Footwear,0.46580523,0.3059122,0.63849634,0.13932757,0.3833725,0.31741297,0.46209952,0.063606635
Enamor_Adults-Women_Women_Brown_Fashion_Summer_2017_Casual_NA_Back_Closure_Single_Regular_Solid_1_NA,0.64341223,0.33555976,0.7706844,0.15936032,0.6035919,0.45945817,0.7096034,0.09184457
Puma_Adults-Women_Women_Black_Fashion_Winter_2013_Casual_Regular_Fit_Printed_Garment_Measurements_in,0.5498246,0.47031152,0.6637244,0.064056315,0.46287498,0.40286192,0.55034834,0.04971225
United_Colors_of_Benetton_Kids-Boys_Boys_Pink_Fashion_Summer_2012_Casual_Regular_Fit_Printed_Garment,0.5746778,0.5544331,0.61661917,0.022288382,0.49532327,0.30172,0.5986851,0.107269704
Femella_Adults-Women_Women_Gold_Fashion_Summer_2012_Casual_Regular_Fit_Solid_To-Fit_Denotes_Body_Mea,0.5126715,0.45432663,0.5657505,0.037337422,0.56823134,0.48557633,0.65362626,0.068121314
s.Oliver_Adults-Women_Women_Pink_Fashion_Summer_2011_Casual_Opaque_No_Sleeves_NA_NA_Casual_New_Basic,0.49777728,0.45599326,0.5274405,0.023448901,0.5449339,0.5120388,0.60387284,0.0325104
Fabindia_Adults-Women_Women_Maroon_Fashion_Summer_2012_Ethnic_To-Fit_Denotes_Body_Measurements_in_Le,0.74121976,0.6774485,0.7874031,0.035519823,0.5464492,0.34441346,0.7199675,0.16162507
Red_Tape_Adults-Men_Men_Black_Fashion_Winter_2018_Casual_Sandals_Footwear_Sandal,0.52824324,0.4707904,0.585012,0.041448727,0.5156701,0.29188555,0.67306125,0.1329015
Tantra_Adults-Women_Women_White_Fashion_Fall_2011_Casual_Regular_Fit_Printed_Garment_Measurements_in,0.624866,0.59320015,0.6563982,0.022605726,0.63549393,0.6004298,0.67215794,0.026177956
,0.553335819285714,0.459947209285714,0.63168579,0.0628923816428571,0.51877798,0.410491213571429,0.616808007142857,0.0779936899285714
